Flight;Carrier 1;Carrier 2;Airport 1;Airport 2;Airport 3;Airport 4
A;American;Cathay Pacific;ORD;LAX;HKG;PVG
B;American;Cathay Pacific;ORD;SFO;HKG;PVG
C;American;China Southern;ORD;LAX;CAN;PVG
D;American;Virgin Atlantic;ORD;LHR;;PVG
E;British Airways;Virgin Atlantic;ORD;LHR;;PVG
F;Delta;;ORD;SEA;ICN;PVG
G;United;Austrian;ORD;LHR;VIE;PVG
H;United;Virgin Atlantic;ORD;LHR;;PVG
I;United;;ORD;DCA;EWR;PVG
J;United;;ORD;DEN;LAX;PVG
K;United;;ORD;EWR;;PVG
L;United;;ORD;IAD;EWR;PVG
M;United;;ORD;LAS;LAX;PVG
N;United;;ORD;LAX;;PVG
O;United;;ORD;LGA;EWR;PVG
